condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2197.867445,1000,False,True,62.533438,4.613445,61.610749
nominal,1,1.000000,1.000000,1.000000,2253.744483,1000,False,True,65.319007,-3.127429,64.693521
nominal,2,1.000000,1.000000,1.000000,2202.677645,1000,False,True,62.801793,0.685053,62.664783
nominal,3,1.000000,1.000000,1.000000,1121.038503,498,True,False,32.471759,-3.721385,31.727482
nominal,4,1.000000,1.000000,1.000000,2266.832270,1000,False,True,65.983614,-2.125027,65.558608
randomized,0,1.054785,0.861872,0.724584,2202.673930,1000,False,True,62.811853,-2.790361,62.253781
randomized,1,0.806611,1.187962,1.247653,1834.729089,818,True,False,52.997084,-4.299647,52.137155
randomized,2,1.042654,1.137698,1.026175,2151.277928,1000,False,True,60.208657,0.347547,60.139148
randomized,3,1.174029,1.189512,0.701643,2192.622927,1000,False,True,62.302901,-5.931236,61.116654
randomized,4,1.142962,0.720151,1.137793,2135.252530,1000,False,True,59.443067,-0.564471,59.330172
